1_61,2_61,3_61,4_61,5_61,6_61,7_61,8_61,9_61,10_61,11_61,12_61,13_61,14_61,15_61
-1.7782916182440351,-1.7715914009406404,-1.7771522675106957,-1.7563070040094255,-1.7630722467210247,-1.7453656397184338,-1.773288161070042,-1.777739025406299,-1.76961931198077,-1.7577986079476704,-1.757208481424126,-1.7548684816431956,-1.7492645205223774,-1.745417326177828,-1.755194673478794
-1.7612457483325632,-1.7689862993045826,-1.7479492690422818,-1.7419037536694957,-1.7536898568612418,-1.7404189032448913,-1.7374435443402987,-1.7646196701715262,-1.758167601775097,-1.7449273539641776,-1.7563665580178327,-1.7461068908038724,-1.7489717673292453,-1.7428411170920763,-1.746765733369514
-1.754609446383776,-1.738811953968833,-1.7366667290905005,-1.7375085117376938,-1.7520847673379256,-1.7313021735333867,-1.7232547525445137,-1.7500128317480794,-1.7576894036030117,-1.7388902156169925,-1.7256211150884084,-1.7447213879270136,-1.7291945923351923,-1.7372254528044084,-1.7417267868759896
-1.7361090646235864,-1.736206776442667,-1.7326971338160924,-1.728325923766272,-1.738621440304305,-1.7276213502989204,-1.7070114396018004,-1.735265562999111,-1.7431808274737222,-1.7333703925064872,-1.724999832224697,-1.7385304559837005,-1.7286934568283676,-1.7317070315273468,-1.7395644965833128
-1.728177714843046,-1.7201109050977563,-1.7169964473322914,-1.7153722778928864,-1.7222224309961482,-1.7066517047674403,-1.6954151021621533,-1.7005059455341254,-1.7275573816111054,-1.7271788705670603,-1.7149793139286318,-1.714073406191586,-1.7256558399968505,-1.7271295959712938,-1.7363081936888332
-1.7085917268795803,-1.7174546761411544,-1.7121904727330552,-1.70444822362658,-1.6907812614081192,-1.7017182973154923,-1.6898336347971583,-1.6857626342032956,-1.7067394638730857,-1.7183396854425816,-1.714028452954015,-1.6980078257915034,-1.7219904358904619,-1.7232140348844764,-1.7338807332904624
-1.699382512940265,-1.6826721234613184,-1.6991167533739255,-1.69991929514909,-1.6724105826228144,-1.689917237121057,-1.6787722290183125,-1.6689007454890439,-1.6919021649076156,-1.7010851937229718,-1.7043612688720657,-1.6923516997024721,-1.6909920459507872,-1.7196990372275769,-1.7301619192773192
-1.6790459647416203,-1.6803952942505294,-1.6652942532552129,-1.6806563025997487,-1.6597717060581159,-1.6843126649398013,-1.674536182999425,-1.6542214533888695,-1.6553009715605882,-1.6829830583682028,-1.6977123726639947,-1.6847233232162242,-1.6895276723562267,-1.7181232018075419,-1.725468276840285
-1.6685961946071064,-1.6592236607878097,-1.652516337253401,-1.6483656495669696,-1.6524681356645385,-1.6640681184007082,-1.6451509519613754,-1.6541024674734315,-1.641708279759496,-1.6659810520600655,-1.6778595317078562,-1.6824884612938202,-1.6847455997129326,-1.690569703643712,-1.719606766803173
-1.647833418190742,-1.6571193107609126,-1.645153552988705,-1.6270902250388026,-1.6429668946439737,-1.6454867675020897,-1.6413962550925618,-1.6179625333830383,-1.6227002537148938,-1.6554908304887255,-1.664137629573576,-1.6690082922068497,-1.68426089574464,-1.6903836681239042,-1.712333519181811
-1.6362005744791772,-1.6193006478691838,-1.6253335790863646,-1.6255407501503265,-1.6200858502900715,-1.614903245915155,-1.6287698630021445,-1.6175539891271444,-1.6041484016812764,-1.6155161161149791,-1.648789559750178,-1.6685340816174061,-1.6781553323496288,-1.6900699799460197,-1.7031436298803164
