1_31,2_31,3_31,4_31,5_31,6_31,7_31,8_31,9_31,10_31,11_31,12_31,13_31,14_31,15_31
-1.2606199941682503,-1.2572454819851135,-1.2042900323678989,-1.2730485612735027,-1.282039917102841,-1.060756481894117,-1.2870619604697306,-1.1464896816513366,-1.0650312280036882,-1.4163896025714509,-1.3510142705673327,-1.1938947309234922,-1.1385687269107798,-1.103847388476233,-1.025381501762213
-1.2091154405921303,-1.150102033606931,-1.1954288317003905,-1.0459077589628223,-1.0052075919684285,-1.0458675711626595,-1.2703699589690285,-1.1291785306583992,-1.031441719453379,-1.0170443467088592,-1.2941330971643326,-1.1873395625062504,-1.11390707513526,-1.0473118126236982,-1.0091880389251038
-1.1622585553040274,-1.1441930104623215,-1.046492146850459,-1.03765391503376,-0.9863429015712115,-1.0322786172636251,-0.8501377203235227,-1.1058531600743022,-0.9904879372635472,-0.9315817536082305,-1.2766575708317571,-1.1734943083412517,-1.0588343128340743,-1.0224658460544074,-0.9676618534078434
-1.119703862646787,-1.0604637115677773,-1.0370726477114152,-1.0247507241890021,-0.982990669059084,-1.027787972698475,-0.8453924039072969,-1.0783223971358347,-0.9031293690357456,-0.8545338839024726,-0.840994564013392,-1.1502409965299887,-1.0377264672413835,-0.961854570714469,-0.9206410054244217
-1.083133816183272,-1.0459544622917547,-1.0190686592211475,-0.996677053348716,-0.9646382462340427,-1.0168388891248383,-0.8390011564563724,-1.0520795261996903,-0.894714422242663,-0.7920526598131751,-0.8405089308928775,-1.1359262886430541,-1.0185393526808124,-0.9462749363969163,-0.877607198398426
-1.0504086843666476,-0.985258387736373,-0.9216263692272381,-0.8501383301988404,-0.9452312152697671,-0.7756427929497188,-0.7978871215957003,-0.6884877527954303,-0.8814570233670468,-0.7702902829231553,-0.7269778535132941,-0.6724857366708403,-0.9890463999586263,-0.9092388243284163,-0.8373671364793005
-1.0224782070843141,-0.9680543015983907,-0.8969402291699946,-0.8423603906712683,-0.759746287655162,-0.7343646303940478,-0.7820622955255384,-0.6451378074302812,-0.8760487628918904,-0.724454232043255,-0.6806068219384543,-0.6650730819716604,-0.9876375769977509,-0.8314180789995375,-0.8028066531044297
-1.004746966042845,-0.928146173905005,-0.886680694111931,-0.8315506194976785,-0.7355551647551954,-0.7105786585179721,-0.7643468879285898,-0.6090948003818342,-0.8633337654895312,-0.7047433338289643,-0.5855685361631652,-0.6016165483633226,-0.5246523216782524,-0.8193568773078358,-0.7746285823896263
-0.9780282285508063,-0.9028668328618236,-0.8221160787288789,-0.8118825485891763,-0.7258321115264696,-0.6911630798439623,-0.7611149132429651,-0.5850183183923044,-0.4739868224793073,-0.6743626574505049,-0.5585480073717821,-0.5670296029726325,-0.5134735636475792,-0.8005524763637947,-0.7031676644651564
-0.9707700570999046,-0.8816888446214606,-0.8092142777507713,-0.7284101045609731,-0.7062363538226403,-0.6782284466826164,-0.531948226421024,-0.5579852955246298,-0.43752269752004447,-0.6466281471365143,-0.5262799337259582,-0.5204154069285959,-0.4676475674325767,-0.4024778351792036,-0.6381534247838387
